product_id,product_name,category,price,rating,stock
PROD001,"Laptop Pro 15""",Electronics,1299.99,4.5,150
PROD002,Wireless Mouse,Electronics,29.99,4.2,500
PROD003,USB-C Cable,Accessories,19.99,4.0,1000
PROD004,"Monitor 27""",Electronics,399.99,4.6,200
PROD005,Keyboard Mechanical,Electronics,149.99,4.4,300
PROD006,Desk Chair,Furniture,249.99,4.3,100
PROD007,Standing Desk,Furniture,599.99,4.7,75
PROD008,Webcam HD,Electronics,79.99,4.1,250
PROD009,Headphones,Electronics,199.99,4.5,400
PROD010,Phone Case,Accessories,24.99,3.9,800
PROD011,"Tablet 10""",Electronics,449.99,4.4,150
PROD012,Smart Watch,Electronics,299.99,4.3,200
PROD013,Backpack,Accessories,89.99,4.2,300
PROD014,Desk Lamp,Furniture,59.99,4.0,400
PROD015,Cable Organizer,Accessories,14.99,3.8,600
